month,St. Marys,Milk
1,49.943,52.164
2,56.555,59.562
3,82.551,72.375
4,86.252,62.775
5,94.745,68.082
6,174.135,106.677
7,228.635,85.947
8,117.821,46.669
9,63.843,41.401
10,56.263,53.867
11,54.574,60.887
12,40.616,44.566
