observed_data_series,filename,DIAG_KLING_GUPTA,DIAG_PCT_BIAS,
HYDROGRAPH_ALL[113500],input/obs/st_05017500.rvt,0.833965,-11.2393,
HYDROGRAPH_ALL[113518],input/obs/st_05020500.rvt,0.891854,-0.805148,
HYDROGRAPH_ALL[113496],input/obs/st_05014500.rvt,0.202236,-51.0833,
