time,date,hour,precip [mm/day],sub113496 [m3/s],sub113496 (observed) [m3/s],sub113500 [m3/s],sub113500 (observed) [m3/s],sub113518 [m3/s],sub113518 (observed) [m3/s],sub113637 [m3/s],sub113675 [m3/s],sub113741 [m3/s],sub113827 [m3/s],sub113850 [m3/s],sub113862 [m3/s],sub113884 [m3/s],sub113981 [m3/s],sub113991 [m3/s],sub114036 [m3/s],sub114115 [m3/s],sub114119 [m3/s],sub114215 [m3/s],sub114261 [m3/s],sub114285 [m3/s],sub114383 [m3/s],sub114428 [m3/s]
0,1981-10-01,00:00:00.00,---,0.636945,,5.63066,,9.64164,,30.8739,11.1007,14.8911,34.8789,14.3918,2.82891,26.8803,1.99085,2.78188,51.5214,8.35396,1.1699,11.6568,16.7941,18.2028,2.59518,45.5592
1,1981-10-02,00:00:00.00,0.0386124,0.325259,2.6346,3.00496,10.0253,5.41087,12.4605,21.6489,7.40922,9.01488,26.601,9.09942,1.5796,18.6585,1.10703,1.76765,39.1049,5.33455,0.584951,6.46678,10.9092,12.4958,1.49161,36.6252
2,1981-10-03,00:00:00.00,0.00114751,0.00703188,2.48823,0.197315,10.2187,0.633402,12.569,7.73243,2.13227,1.69731,12.616,2.23389,0.16514,6.46114,0.111601,0.410986,18.05,1.29679,0,0.686378,2.96747,4.21468,0.194018,20.3148
3,1981-10-04,00:00:00.00,0.155568,0.0361412,2.78096,0.125745,9.57699,0.149384,11.5592,1.76773,0.290393,0.132544,4.46423,0.370066,5.52816e-16,1.44576,1.51863e-17,0.0342765,5.97491,0.146278,0,0.0491578,0.50726,0.944153,1.65961e-17,8.99158
4,1981-10-05,00:00:00.00,0.353057,0.037664,2.78096,0.155608,8.35937,0.152593,10.3415,0.275997,0.0174073,0.00459993,1.24133,0.0426558,1.71409e-15,0.226534,1.42739e-16,1.37741e-16,1.54223,0.0071651,0,0.00114733,0.0557498,0.135204,1.51823e-16,3.34287
5,1981-10-06,00:00:00.00,0.41044,0.16937,2.6346,0.510645,7.3635,0.468428,9.17578,0.0312466,0.000394535,5.71441e-05,0.272858,0.00310596,2.67018e-15,0.0255123,4.12909e-16,1.61493e-15,0.320144,0.000108522,0,2.83227e-14,0.00401015,0.011873,4.38792e-16,1.03942
6,1981-10-07,00:00:00.00,0.0742575,0.172123,2.6346,0.547695,6.71221,0.541592,8.46786,0.00259349,1.5544e-14,3.29158e-14,0.0470849,0.000131262,3.71095e-15,0.00208741,8.73772e-16,3.87827e-15,0.0536349,3.3077e-07,0,4.18004e-14,0.000188059,0.000569435,6.34971e-16,0.266756
7,1981-10-08,00:00:00.00,0.0071541,0.235223,2.34186,0.791609,6.02305,0.7625,7.69374,0.000146445,1.76195e-14,4.01548e-14,0.00634442,9.94716e-06,4.86762e-15,0.000126625,1.8461e-15,4.92399e-15,0.00722587,0,0,4.42345e-14,5.64853e-06,1.21927e-05,1.47388e-15,0.0563179
8,1981-10-09,00:00:00.00,0.494404,0.25088,2.56141,0.901982,6.01606,0.887724,7.91329,4.67412e-06,1.9402e-14,4.30088e-14,0.000666652,7.34911e-06,5.60135e-15,5.74855e-06,2.77228e-15,5.17385e-15,0.0013834,0,0,4.57529e-14,1.00521e-07,1.1517e-06,2.47288e-15,0.009813
9,1981-10-10,00:00:00.00,0.982902,0.227257,2.56141,0.846226,5.64794,0.852288,7.7717,5.4335e-08,1.89471e-13,4.40778e-14,5.46341e-05,6.72925e-06,6.57714e-15,1.88702e-07,4.07713e-15,1.01516e-14,0.00173536,0,0,5.33899e-14,8.06063e-10,1.07127e-06,3.4202e-15,0.00142561
10,1981-10-11,00:00:00.00,0.178468,0.214309,2.41505,0.786549,5.27504,0.793884,7.08732,7.62547e-14,4.59717e-13,2.11614e-13,3.48649e-06,6.57724e-06,8.82607e-15,4.11557e-09,8.60753e-15,2.58177e-14,0.00223838,0,0,6.0479e-14,2.69355e-14,9.638e-07,5.22104e-15,0.000182009
11,1981-10-12,00:00:00.00,0.877781,0.279891,2.48823,0.96434,5.26328,0.943591,7.01892,1.65961e-12,7.40697e-13,3.53421e-13,1.72328e-07,0.00204105,1.05641e-14,5.238e-11,6.34435e-14,2.99627e-13,0.00244156,0,0,6.46038e-14,3.12081e-14,8.51032e-07,2.6561e-14,2.89227e-05
12,1981-10-13,00:00:00.00,5.35418,0.280808,2.41505,0.975596,5.16178,0.975471,6.86078,7.18562e-10,8.69471e-10,2.06882e-11,1.09295e-08,0.0468417,2.83819e-12,2.37733e-11,4.95167e-11,4.14347e-11,0.00498867,0,0,5.77754e-13,1.29905e-13,1.15429e-06,2.15213e-11,6.30269e-05
13,1981-10-14,00:00:00.00,16.2908,0.226717,2.26868,0.786972,4.95878,0.813784,6.65778,1.4255e-08,1.16601e-06,2.99298e-08,2.08861e-06,0.119328,4.11251e-09,3.69549e-08,9.37059e-10,5.31e-10,0.009665,0,0,3.09011e-10,9.04206e-12,2.00469e-06,1.66825e-09,0.000221996
14,1981-10-15,00:00:00.00,0.382449,0.225415,2.1955,0.757336,4.76383,0.767008,6.46284,2.95582e-08,3.98253e-06,4.57917e-07,5.37121e-06,0.201825,8.55218e-09,8.3914e-08,1.724e-09,9.66344e-10,0.0125984,0,0,6.14792e-10,1.50183e-11,2.66013e-06,3.23058e-09,0.000435803
15,1981-10-16,00:00:00.00,0.0705623,0.218738,2.12231,0.92301,4.58871,0.97265,6.2594,1.89251e-07,5.78608e-06,6.83039e-07,6.59609e-06,0.257321,8.73031e-09,9.37606e-08,1.29861e-08,8.66619e-09,0.0525284,0.000834175,0,6.02309e-10,1.04053e-11,0.0128193,2.48268e-08,0.000624004
16,1981-10-17,00:00:00.00,0.0246739,0.227843,2.04913,0.973831,4.48154,1.21337,6.06728,5.09109e-07,2.46668e-05,5.21769e-07,8.64475e-06,0.273146,8.42628e-09,2.89312e-07,1.72145e-07,1.18601e-07,0.128758,0.00171517,0,5.88711e-10,2.51618e-10,0.0519472,1.12018e-07,0.00114949
17,1981-10-18,00:00:00.00,0.134265,0.299939,2.04913,1.75323,4.46229,1.96168,5.87813,7.4916e-07,5.81184e-05,2.15453e-06,1.38243e-05,0.278669,5.42921e-07,3.7314e-06,3.20125e-07,2.32534e-07,0.190362,0.0039572,0,4.21763e-09,1.1645e-09,0.0991535,1.78366e-07,0.00242237
18,1981-10-19,00:00:00.00,0.0288536,0.290856,2.04913,1.76793,4.46823,2.10064,5.88407,8.46365e-07,6.99626e-05,3.14272e-06,1.9183e-05,0.269211,1.17696e-06,8.00718e-06,3.11981e-07,2.42117e-07,0.228002,0.0155309,0,6.07578e-08,1.57389e-09,0.126939,1.87049e-07,0.00397056
19,1981-10-20,00:00:00.00,0.000596341,0.28087,1.97595,1.57232,4.31322,2.03633,5.81401,8.6137e-07,5.68144e-05,2.09821e-06,2.27917e-05,0.254458,1.25415e-06,9.03753e-06,2.92958e-07,2.35823e-07,0.245339,0.0306976,0,1.12493e-07,1.11797e-09,0.1325,2.14181e-07,0.00493462
20,1981-10-21,00:00:00.00,0.656474,0.288208,1.97595,1.66119,4.3741,2.28095,5.93152,9.73141e-07,4.30947e-05,1.44391e-06,2.67902e-05,0.238449,1.21068e-06,9.07577e-06,9.85872e-07,4.66622e-07,0.254512,0.0541605,0,1.10146e-06,1.25237e-09,0.127633,4.78379e-07,0.00505465
21,1981-10-22,00:00:00.00,0.699297,0.22837,2.04913,1.36327,4.39376,2.56169,5.75297,1.12167e-06,3.92836e-05,1.05295e-06,3.25388e-05,0.224166,1.16895e-06,9.02564e-06,1.78743e-06,7.5712e-07,0.26806,0.0895305,0,2.08201e-06,1.37061e-09,0.120415,7.56376e-07,0.00464789
22,1981-10-23,00:00:00.00,0.0553196,0.220348,1.97595,1.22453,4.23789,2.76897,5.68205,1.14272e-06,3.51137e-05,8.13058e-07,3.74573e-05,0.20997,1.12846e-06,8.78237e-06,1.6261e-06,7.98664e-07,0.28146,0.10644,0,2.03768e-06,1.01368e-09,0.113247,7.14026e-07,0.00406924
23,1981-10-24,00:00:00.00,0.0837655,0.198576,1.90276,1.38697,4.13753,2.57242,5.55337,1.1127e-06,2.60746e-05,6.64382e-07,3.94704e-05,0.197383,1.08917e-06,8.46756e-06,1.21061e-06,7.7101e-07,0.28473,0.105277,0,1.96807e-06,7.79567e-10,0.106478,5.91412e-07,0.00349065
24,1981-10-25,00:00:00.00,0.431558,0.197719,1.82958,1.38104,3.97967,2.63976,5.42383,1.07524e-06,1.68906e-05,5.70674e-07,3.92411e-05,0.184883,1.05124e-06,8.15787e-06,9.58499e-07,7.4416e-07,0.277006,0.0995321,0,1.89954e-06,6.35612e-10,0.100112,5.13628e-07,0.00296426
25,1981-10-26,00:00:00.00,0.319486,0.155442,2.12231,1.07614,4.32961,2.22811,5.8304,1.03894e-06,1.05014e-05,5.09511e-07,3.81507e-05,0.173801,1.01463e-06,7.86422e-06,8.02285e-07,7.18246e-07,0.263032,0.0924464,0,1.83339e-06,5.45054e-10,0.0941278,4.62282e-07,0.00250291
26,1981-10-27,00:00:00.00,0.0922015,0.226378,1.82958,1.43144,4.00969,2.30033,5.5388,1.44553e-06,6.62627e-06,4.67611e-07,3.71816e-05,0.162423,9.79298e-07,7.58471e-06,7.28987e-07,7.07548e-07,0.247282,0.0864067,0,1.76955e-06,4.86036e-10,0.0885014,4.76321e-07,0.00210742
27,1981-10-28,00:00:00.00,0.0928614,0.253568,2.1955,1.97643,4.26234,3.28035,5.73481,2.95693e-06,9.41134e-06,1.50697e-06,3.74728e-05,0.173831,1.05914e-06,7.74261e-06,1.03122e-05,8.28091e-07,0.239424,0.0899891,0,2.00843e-06,5.00869e-10,0.0832156,2.99553e-06,0.00187499
28,1981-10-29,00:00:00.00,0.187001,0.242371,2.41505,1.93065,4.45357,4.06625,5.95436,9.53959e-06,1.5593e-05,2.25186e-06,3.84497e-05,0.188078,1.15565e-06,8.03513e-06,2.68448e-05,1.03249e-06,0.244648,0.10017,0,2.25955e-06,5.1648e-10,0.0782514,7.08527e-06,0.00191161
29,1981-10-30,00:00:00.00,0.0433275,0.650524,2.41505,5.66622,4.42526,7.23445,5.86941,1.60768e-05,1.5705e-05,1.71854e-06,3.87921e-05,0.163271,1.13486e-06,7.91035e-06,3.00121e-05,1.13374e-06,0.25199,0.103158,0,2.20456e-06,4.73448e-10,0.0735829,7.80701e-06,0.00208533
30,1981-10-31,00:00:00.00,1.36192,0.599372,2.56141,5.63161,4.62854,7.88883,6.01606,2.01855e-05,5.639e-05,1.49723e-06,5.4571e-05,0.177493,1.12252e-06,8.002e-06,3.2067e-05,1.23697e-06,0.252104,0.102581,0,2.1953e-06,4.38621e-10,0.0691886,7.99068e-06,0.0021749
31,1981-11-01,00:00:00.00,0.0166905,0.780783,2.78096,6.61495,4.84809,8.65924,6.3772,2.25697e-05,0.000119294,1.36345e-06,7.57031e-05,0.226471,1.11416e-06,8.07393e-06,3.72959e-05,1.33407e-06,0.24497,0.0989923,0,2.18775e-06,4.12032e-10,0.0650543,8.98719e-06,0.0021155
32,1981-11-02,00:00:00.00,0.00332566,0.788589,1.18302,6.77245,3.20767,8.77915,4.45361,1.90307e-05,0.00012466,1.14314e-06,7.99439e-05,0.259493,1.07892e-06,7.7617e-06,2.93472e-05,1.32161e-06,0.235098,0.0961933,0,2.11631e-06,3.90441e-10,0.0611663,7.32391e-06,0.00195494
33,1981-11-03,00:00:00.00,0.000282914,0.662847,1.26461,5.58462,3.26094,7.84362,4.64847,1.38304e-05,8.97636e-05,1.00029e-06,7.65743e-05,0.340218,1.04135e-06,7.43991e-06,1.7669e-05,1.27729e-06,0.225297,0.0940433,0,2.04283e-06,3.72543e-10,0.0575106,4.78865e-06,0.00174224
34,1981-11-04,00:00:00.00,7.80704e-05,0.658174,1.46858,5.44206,3.46491,7.73036,4.73917,1.00094e-05,5.65036e-05,9.0504e-07,7.20964e-05,0.445014,1.00508e-06,7.1491e-06,1.07632e-05,1.23281e-06,0.215375,0.0907983,0,1.97169e-06,3.57034e-10,0.0540734,3.27673e-06,0.00151099
35,1981-11-05,00:00:00.00,0.00073504,0.58707,1.14223,5.42505,3.08193,7.63457,4.35618,7.63331e-06,3.51825e-05,8.38171e-07,6.79582e-05,0.437781,9.70081e-07,6.8815e-06,6.65682e-06,1.18988e-06,0.204501,0.0853055,0,1.90303e-06,3.43113e-10,0.0508418,2.36464e-06,0.00128754
36,1981-11-06,00:00:00.00,0.0145927,0.584065,1.26461,5.36634,3.17599,8.02738,4.47857,6.19149e-06,2.25442e-05,7.88299e-07,6.44672e-05,0.464022,9.36299e-07,6.63094e-06,4.23302e-06,1.14844e-06,0.193553,0.0817942,0,1.83677e-06,3.30296e-10,0.0478035,1.81349e-06,0.00108765
37,1981-11-07,00:00:00.00,0.000135365,0.482534,1.26461,4.54617,3.11936,7.1432,4.42193,5.29717e-06,1.50808e-05,7.48747e-07,6.15269e-05,0.557767,9.03693e-07,6.39364e-06,2.80317e-06,1.10845e-06,0.183738,0.0797241,0,1.77282e-06,3.18286e-10,0.0449471,1.47606e-06,0.000915915
38,1981-11-08,00:00:00.00,8.8598e-05,0.47959,1.22381,4.48483,3.05025,6.92798,4.43777,4.70425e-06,1.06483e-05,7.15593e-07,5.89714e-05,0.576292,8.72223e-07,6.16725e-06,1.95526e-06,1.06985e-06,0.174527,0.0759147,0,1.71108e-06,3.06904e-10,0.0422615,1.26419e-06,0.000770692
39,1981-11-09,00:00:00.00,0.0199552,0.376055,1.22381,3.47817,3.05025,5.98244,4.3245,4.3264e-06,7.9916e-06,6.86539e-07,5.66763e-05,0.551128,8.41849e-07,5.9503e-06,2.0492e-06,1.03297e-06,0.164893,0.0706561,0,1.65149e-06,2.96042e-10,0.0397365,1.25556e-06,0.00064842
40,1981-11-10,00:00:00.00,0.0238019,0.373749,1.14223,3.41266,2.96866,5.32962,4.29955,4.07266e-06,6.37616e-06,6.60213e-07,5.45656e-05,0.516886,8.12532e-07,5.74181e-06,2.58068e-06,9.97595e-07,0.155159,0.0664801,0,1.59398e-06,2.8563e-10,0.0373624,1.34972e-06,0.000545557
41,1981-11-11,00:00:00.00,0.00103952,0.293139,1.10143,2.62425,2.89955,4.55347,4.14549,3.96736e-06,5.37194e-06,6.35809e-07,5.2591e-05,0.485903,7.84252e-07,5.54118e-06,2.34621e-06,9.631e-07,0.146106,0.0632427,0,1.53847e-06,2.75623e-10,0.0351302,1.27821e-06,0.000459179
42,1981-11-12,00:00:00.00,0.000129378,0.291323,1.10143,2.57382,2.92787,4.05956,4.08886,3.91123e-06,4.7271e-06,6.12842e-07,5.07185e-05,0.455118,7.5696e-07,5.34786e-06,1.71213e-06,9.29596e-07,0.137581,0.05927,0,1.4849e-06,2.6599e-10,0.0330315,1.11126e-06,0.000386861
43,1981-11-13,00:00:00.00,0.000920046,0.241384,1.01985,2.09029,2.84628,3.57251,3.95063,3.71986e-06,4.29453e-06,5.91011e-07,4.89277e-05,0.427825,7.30603e-07,5.16139e-06,1.26588e-06,8.97225e-07,0.129268,0.0552472,0,1.43319e-06,2.56707e-10,0.0310583,9.85908e-07,0.000326247
44,1981-11-14,00:00:00.00,0.0912049,0.26349,1.22381,2.21209,3.02193,3.35239,4.1546,4.40963e-06,3.98816e-06,5.70162e-07,4.72101e-05,0.400726,7.05173e-07,4.98152e-06,3.64122e-06,8.80546e-07,0.121129,0.0512458,0,1.38328e-06,2.47757e-10,0.029203,1.50624e-06,0.00027518
45,1981-11-15,00:00:00.00,0.864172,0.25123,1.22381,2.10073,2.9653,3.24731,4.1546,6.94421e-06,8.5488e-06,6.21964e-07,4.79418e-05,0.38169,6.90678e-07,4.83457e-06,1.17507e-05,9.32364e-07,0.113356,0.0476896,0,1.33589e-06,4.05154e-10,0.0274585,3.38044e-06,0.00023203
46,1981-11-16,00:00:00.00,1.02275,0.243995,1.01985,2.01478,2.76133,2.95463,4.17717,1.098e-05,1.54839e-05,7.20846e-07,5.0513e-05,0.364417,6.88672e-07,4.73944e-06,2.15127e-05,1.05252e-06,0.106027,0.0442605,0,1.33112e-06,6.76438e-10,0.0258183,5.68903e-06,0.000196065
47,1981-11-17,00:00:00.00,0.0289555,0.280473,1.22381,2.14284,2.9653,3.00524,4.1546,1.30333e-05,1.63001e-05,7.3345e-07,5.13794e-05,0.340903,6.78411e-07,4.63572e-06,2.35912e-05,1.11512e-06,0.0991868,0.0412176,0,1.3284e-06,8.30687e-10,0.0242762,6.22726e-06,0.000166821
48,1981-11-18,00:00:00.00,0.230985,0.266801,1.50937,2.13124,3.36412,2.92966,4.66669,1.38009e-05,1.29232e-05,6.86131e-07,5.06042e-05,0.323125,6.5651e-07,4.49091e-06,2.27852e-05,1.12059e-06,0.0929234,0.0382819,0,1.28495e-06,8.52432e-10,0.0228262,6.01029e-06,0.000142936
49,1981-11-19,00:00:00.00,7.18265,0.280371,1.55016,2.11267,3.46155,2.90187,4.76412,0.000657483,1.58778e-05,2.5055e-06,7.17709e-05,0.354081,1.35559e-06,5.70062e-06,0.000689876,5.71279e-06,0.0913546,0.0356731,0,1.96201e-06,5.96801e-09,0.0214628,0.000563686,0.000140272
50,1981-11-20,00:00:00.00,2.48022,0.28245,1.46858,2.10129,3.40828,2.75629,4.51263,0.00172369,2.91324e-05,4.51943e-06,0.000115962,0.394011,2.1406e-06,7.1697e-06,0.00171455,1.16341e-05,0.0942394,0.0331556,0,2.65788e-06,1.05984e-08,0.0201808,0.00148033,0.000176779
51,1981-11-21,00:00:00.00,0.183493,0.281471,1.3462,2.3091,3.34253,2.91625,4.56015,0.00256976,3.84408e-05,4.4277e-06,0.000148234,0.361315,2.17632e-06,7.23093e-06,0.00356008,1.28249e-05,0.0948971,0.030915,0,2.61033e-06,9.60834e-09,0.0189755,0.00274225,0.000230476
52,1981-11-22,00:00:00.00,0.0340862,0.28118,1.3054,2.33288,3.30174,2.85214,4.51936,0.00286722,3.49465e-05,3.97706e-06,0.000159272,0.364432,2.10053e-06,6.9697e-06,0.00438522,1.62988e-05,0.0917996,0.0287526,0,2.52194e-06,8.78746e-09,0.0178421,0.00329633,0.000262227
53,1981-11-23,00:00:00.00,0.0461463,0.223763,1.63175,1.84283,3.62809,2.4054,5.01561,0.00284417,2.61464e-05,3.65626e-06,0.000158083,0.418568,2.02738e-06,6.69842e-06,0.00394818,2.08278e-05,0.087015,0.0268247,0,2.43415e-06,8.19601e-09,0.0167765,0.00352211,0.000259044
54,1981-11-24,00:00:00.00,0.106575,0.22304,1.50937,1.80364,3.53402,2.23135,4.66669,0.00274258,3.2221e-05,3.42205e-06,0.000154299,0.427755,1.95678e-06,6.44647e-06,0.00369112,2.19793e-05,0.0819735,0.0249644,0,2.34938e-06,7.7436e-09,0.0157752,0.00365121,0.000233489
55,1981-11-25,00:00:00.00,0.401282,0.178382,1.3462,1.45868,3.34253,1.90528,4.10708,0.00260297,4.90994e-05,3.24035e-06,0.000152268,0.410193,1.88863e-06,6.21086e-06,0.00341349,2.21305e-05,0.0771466,0.0233028,0,2.26757e-06,7.37623e-09,0.0148347,0.00332229,0.000201239
56,1981-11-26,00:00:00.00,0.518411,0.17751,1.22381,1.4281,3.22015,1.77392,3.67322,0.00247815,5.11095e-05,3.09092e-06,0.000150612,0.386951,1.82286e-06,5.98806e-06,0.0031189,2.16897e-05,0.0726122,0.0217,0,2.1886e-06,7.0622e-09,0.0139501,0.00304746,0.000170587
57,1981-11-27,00:00:00.00,0.368073,0.14238,1.14223,1.12421,3.08193,1.48833,3.56331,0.00234714,3.96852e-05,2.96188e-06,0.000147642,0.365911,1.75939e-06,5.77572e-06,0.00275642,2.09718e-05,0.0683737,0.0202658,0,2.11239e-06,6.78282e-09,0.0131174,0.00274515,0.000143956
58,1981-11-28,00:00:00.00,0.0447397,0.14166,1.10143,1.09722,3.01282,1.37944,3.52252,0.00223635,2.76383e-05,2.84621e-06,0.000143403,0.343522,1.69812e-06,5.57235e-06,0.00250188,2.02417e-05,0.0644079,0.0188829,0,2.03882e-06,6.52705e-09,0.0123338,0.00251402,0.000121402
59,1981-11-29,00:00:00.00,0.0926371,0.114126,1.01985,0.866516,2.95955,1.16107,3.46925,0.00212021,1.94594e-05,2.73977e-06,0.000138618,0.323039,1.63898e-06,5.37699e-06,0.00223812,1.95368e-05,0.0607112,0.017643,0,1.96782e-06,6.28831e-09,0.0115969,0.00227074,0.00010241
60,1981-11-30,00:00:00.00,0.0193676,0.11351,0.938258,0.845746,2.96291,1.07719,3.41598,0.00202151,1.44689e-05,2.64007e-06,0.000133785,0.302572,1.5819e-06,5.18898e-06,0.00204855,1.88565e-05,0.0572508,0.0164482,0,1.8993e-06,6.06262e-09,0.010904,0.00208333,8.64305e-05
61,1981-12-01,00:00:00.00,0.00308003,0.0919611,0.979052,0.670371,3.0037,0.910298,3.48509,0.00191748,1.14384e-05,2.54563e-06,0.000129089,0.28442,1.52682e-06,5.00783e-06,0.00184223,1.81998e-05,0.0539962,0.0153748,0,1.83315e-06,5.84758e-09,0.0102525,0.00188391,7.29865e-05
62,1981-12-02,00:00:00.00,0.10823,0.0915232,0.943225,0.654405,2.96788,0.845477,3.47758,0.00182879,9.56195e-06,2.45551e-06,0.000124565,0.266397,1.47365e-06,4.83318e-06,0.00169222,1.7566e-05,0.050914,0.0143411,0,1.76932e-06,5.64165e-09,0.00963998,0.00172976,6.16739e-05
63,1981-12-03,00:00:00.00,0.659847,0.0750212,0.984235,0.521792,2.98057,0.718407,3.54691,0.00173515,8.36415e-06,2.36914e-06,0.000120209,0.250419,1.42233e-06,4.66471e-06,0.00152518,1.69543e-05,0.0480103,0.0134106,0,1.7077e-06,5.44384e-09,0.00906408,0.00156498,5.21532e-05
64,1981-12-04,00:00:00.00,0.559829,0.075711,0.984235,0.512369,2.98057,0.670922,3.54691,0.0016552,7.56704e-06,2.28613e-06,0.000116133,0.234555,1.3728e-06,4.50218e-06,0.00141233,1.67411e-05,0.0452899,0.0125152,0,1.64823e-06,5.25348e-09,0.0085226,0.00143976,4.4139e-05
65,1981-12-05,00:00:00.00,0.0297364,0.0631923,0.984235,0.413461,2.92394,0.575709,3.51859,0.00157075,7.00771e-06,2.20623e-06,0.00011241,0.220491,1.32499e-06,4.34534e-06,0.00128634,1.66791e-05,0.0427464,0.0117076,0,1.59083e-06,5.07007e-09,0.00801348,0.00130614,3.73917e-05
66,1981-12-06,00:00:00.00,0.00304039,0.0629034,1.10726,0.404254,3.1036,0.537326,3.6133,0.00149856,6.59057e-06,2.12923e-06,0.00010886,0.206525,1.27885e-06,4.19399e-06,0.00118319,1.62556e-05,0.040342,0.0109311,0,1.53543e-06,4.89324e-09,0.0075348,0.00119977,3.17097e-05
67,1981-12-07,00:00:00.00,0.133701,0.0590367,1.51736,0.459315,3.62696,0.578836,4.05172,0.00142232,6.25975e-06,2.05498e-06,0.000105301,0.194143,1.23431e-06,4.04792e-06,0.00106225,1.57414e-05,0.061631,0.0102293,0,1.48196e-06,4.72268e-09,0.00708471,0.00108443,2.69235e-05
68,1981-12-08,00:00:00.00,3.63916,0.0877714,1.51736,0.816064,3.62696,0.884911,4.13667,0.00376474,4.48532e-05,1.24168e-05,0.000150207,0.198571,5.90851e-06,2.45544e-05,0.00213401,1.78165e-05,0.106791,0.00955511,0,1.28566e-05,6.1213e-09,0.0139161,0.00410598,0.000266212
69,1981-12-09,00:00:00.00,0.279126,0.0941164,1.31231,1.14383,3.3936,1.21038,3.95993,0.0075258,0.000101117,2.45509e-05,0.000206292,0.209774,1.12491e-05,4.91726e-05,0.00353341,2.10163e-05,0.13745,0.0089446,0,2.44175e-05,7.33582e-09,0.031151,0.00888148,0.00101235
70,1981-12-10,00:00:00.00,0.0246886,0.0674138,1.2713,0.830473,3.35259,0.961222,3.91892,0.00987214,0.000109392,2.58317e-05,0.00020831,0.218619,1.16865e-05,5.26967e-05,0.00527145,2.16618e-05,0.144293,0.0083586,0,2.41772e-05,6.81863e-09,0.0465204,0.0178255,0.00196536
71,1981-12-11,00:00:00.00,0.0527652,0.146638,1.76342,1.90101,3.92966,1.86677,4.43936,0.0104505,8.6967e-05,2.48185e-05,0.000193354,0.224792,1.12796e-05,5.12211e-05,0.00591512,2.10495e-05,0.139511,0.00782694,0,2.33633e-05,6.37988e-09,0.0520903,0.0223222,0.00258488
72,1981-12-12,00:00:00.00,0.208654,0.153531,1.88645,2.11144,4.05269,2.16668,4.67565,0.0108083,6.53561e-05,2.62658e-05,0.000181151,0.217599,1.18117e-05,5.63129e-05,0.00693629,2.03226e-05,0.164486,0.00731708,0,2.35605e-05,6.0387e-09,0.0512151,0.0221516,0.00276524
73,1981-12-13,00:00:00.00,0.0658155,0.12757,1.76342,1.71047,3.87302,1.85302,4.58094,0.0111994,5.17348e-05,2.715e-05,0.000171672,0.205684,1.24547e-05,6.21679e-05,0.00764696,1.96245e-05,0.220504,0.00685363,0,2.38448e-05,5.75866e-09,0.0484851,0.0222726,0.00276184
74,1981-12-14,00:00:00.00,0.142526,0.12289,1.55837,1.56697,3.63966,1.67628,4.37589,0.011624,4.29027e-05,2.51548e-05,0.000162345,0.192727,1.21502e-05,6.06674e-05,0.00749166,1.89452e-05,0.255331,0.00640958,0,2.31128e-05,5.5173e-09,0.0456113,0.0218482,0.00270757
75,1981-12-15,00:00:00.00,0.0263852,0.11467,1.51736,1.62403,3.54201,1.69784,4.24993,0.0116512,3.67168e-05,2.36109e-05,0.000154171,0.181169,1.17271e-05,5.81572e-05,0.00723624,1.8286e-05,0.258903,0.00600521,0,2.23121e-05,5.30129e-09,0.0428843,0.0211055,0.00256132
76,1981-12-16,00:00:00.00,3.41469,0.114455,1.39433,1.6253,3.41898,1.69584,4.09859,0.0112197,3.24465e-05,2.23968e-05,0.000147278,0.169692,1.13187e-05,5.58576e-05,0.00652249,1.76492e-05,0.248235,0.00561812,0,2.15351e-05,5.10271e-09,0.0403192,0.0190914,0.00230757
77,1981-12-17,00:00:00.00,0.170752,0.0948241,1.35332,1.28616,3.37797,1.39125,4.00094,0.010732,2.95181e-05,2.13875e-05,0.000141255,0.158784,1.09246e-05,5.37512e-05,0.0060006,1.70346e-05,0.234543,0.005265,0,2.07852e-05,4.91683e-09,0.0379077,0.0175321,0.00200143
78,1981-12-18,00:00:00.00,0.151415,0.0944528,1.14827,1.25458,3.00302,1.31866,3.71094,0.0101992,2.74334e-05,2.05085e-05,0.000135813,0.144158,1.05441e-05,5.17851e-05,0.00541253,1.64414e-05,0.221074,0.00492726,0,2.00613e-05,4.74083e-09,0.0356407,0.0158599,0.00170161
79,1981-12-19,00:00:00.00,0.0621565,0.0788294,1.10726,0.99584,2.90538,1.08153,3.58498,0.00973936,2.58597e-05,1.97158e-05,0.000130777,0.127609,1.01769e-05,4.99266e-05,0.00498181,1.58688e-05,0.208308,0.00461864,0,1.93627e-05,4.57293e-09,0.0335096,0.0145651,0.00143592
80,1981-12-20,00:00:00.00,0.0367181,0.0784223,1.2713,0.971375,2.98447,1.02563,3.69239,0.00925774,2.45974e-05,1.89833e-05,0.000126044,0.10954,9.82254e-06,4.81557e-05,0.00449493,1.53162e-05,0.196209,0.00432372,0,1.86884e-05,4.41205e-09,0.0315061,0.0131763,0.00120934
81,1981-12-21,00:00:00.00,0.135765,0.0664877,1.39433,0.784672,3.22077,0.85418,3.73047,0.0088425,2.35291e-05,1.82954e-05,0.00012155,0.0930375,9.48048e-06,4.64598e-05,0.00413807,1.47828e-05,0.184727,0.00405378,0,1.80376e-05,4.25745e-09,0.0296227,0.0121008,0.00101827
82,1981-12-22,00:00:00.00,0.12425,0.0667854,1.23029,0.771441,3.14168,0.817374,3.62306,0.00840732,3.24332e-05,1.76425e-05,0.000121636,0.0786495,9.15033e-06,4.48308e-05,0.00373415,1.42913e-05,0.173847,0.00379605,0,1.74095e-05,4.10862e-09,0.0278521,0.0109471,0.000857529
