,HRUGroup:,HBVEC,HYPR,StMary,Milk,Glaciers,Babb,Havre,Malta,RockyBoy,FlatTop,ManyGlacier,band600,band800,band1000,band1200,band1400,band1600,band1800,band2000,band2200,band2400,band2600,DisableHRUs,
time,month,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
669,1983-07,3.33964,3.94004,2.49952,3.98127,1.35,3.59766,4.28976,2.66104,3.26113,2.48121,3.16928,4.0984,4.01292,3.65104,3.38697,3.28341,2.93841,2.43147,2.11557,1.44661,1.28345,1.04858,0,
700,1983-08,3.48327,4.04212,2.59826,4.08828,1.43087,3.82222,4.49519,2.78459,3.17802,2.95606,3.43173,4.15396,4.12329,3.77479,3.52588,3.44306,3.10219,2.54078,2.29251,1.55259,1.466,1.15392,0,
730,1983-09,1.75332,2.17638,1.3207,2.19341,0.634326,1.89126,2.55395,1.51827,1.50349,1.70274,1.74208,2.25394,2.22756,1.99691,1.8151,1.67989,1.4571,1.14167,1.07752,0.704314,0.722906,0.523932,0,
761,1983-10,0.908947,1.05951,0.714113,1.06865,0.309716,1.07294,1.33434,0.738251,0.567628,1.22222,1.03907,1.06651,1.08114,1.00889,0.949105,0.875668,0.766544,0.566922,0.587791,0.397223,0.450123,0.27939,0,
791,1983-11,0.376519,0.483023,0.282442,0.486191,0.109474,0.429654,0.658355,0.363499,0.19959,0.613657,0.453805,0.518547,0.488999,0.439895,0.396294,0.353028,0.301076,0.20168,0.236359,0.175918,0.203057,0.102233,0,
822,1983-12,0.0443421,0.0249358,0.036639,0.0262331,0.0216999,0.0951994,0.0512984,0.0157398,0.0186956,0.174805,0.130127,0.0233163,0.0233644,0.030504,0.0392425,0.0518202,0.0595616,0.0413526,0.0527553,0.039043,0.0424861,0.0177843,0,
853,1984-01,0.214033,0.222908,0.165291,0.226259,0.0620836,0.273803,0.279364,0.161241,0.0897457,0.415825,0.299428,0.224389,0.223573,0.222587,0.222298,0.210135,0.187762,0.121247,0.147517,0.113749,0.130743,0.0585166,0,
882,1984-02,0.444213,0.503697,0.344702,0.50901,0.142711,0.572025,0.735559,0.398361,0.281077,0.693003,0.576679,0.559146,0.498122,0.46991,0.454843,0.446089,0.399812,0.28376,0.298576,0.200922,0.224295,0.12252,0,
913,1984-03,0.69549,0.744648,0.546604,0.754069,0.26268,0.90972,1.0103,0.576191,0.556289,0.852376,0.846172,0.817346,0.73469,0.708114,0.699751,0.715459,0.659043,0.506068,0.480998,0.303962,0.314849,0.209741,0,
943,1984-04,1.46109,2.00897,1.09982,2.01601,0.4442,1.49942,2.36164,1.4265,1.37655,1.07771,1.25063,2.12198,2.06336,1.78604,1.53706,1.37256,1.14562,0.87121,0.763753,0.487312,0.452054,0.33436,0,
974,1984-05,2.22546,2.93162,1.62512,2.95086,0.634024,2.1637,3.34821,2.05372,2.2658,1.2454,1.60365,3.07756,3.00526,2.64211,2.3373,2.1168,1.73077,1.27333,1.06276,0.699157,0.610857,0.452785,0,
1004,1984-06,3.04762,3.54242,2.31282,3.5796,1.07617,3.27062,4.003,2.38985,2.95933,1.94724,2.58594,3.59331,3.61879,3.3431,3.12714,2.99078,2.63788,2.10494,1.77551,1.21248,1.05975,0.810947,0,
