SBID,TotalArea,WetlandArea,LakeArea,WetlandFrac,LakeFrac
99999,22.594834229617074,0,21.6762297444062,0,0.959
113490,337.0679279673751,0.455854341755271,17.654859147240906,0.001,0.052
113492,17.112270941750474,0,0,0,0
113494,19.67522340410566,0,1.047558890648325,0,0.053
113496,1.832099657098274,0,0.249765705067627,0,0.136
113497,111.33030212835705,0.299647678706661,8.454135431252903,0.003,0.076
113498,41.782267067009784,0,0.687326867423617,0,0.016
113500,0.803199870606201,0.116580618994922,0.178393867518819,0.145,0.222
113501,85.27728557021216,0,6.903397550779894,0,0.081
113503,1.975001051831923,0,0,0,0
113506,93.90428519019491,0.527199898535592,0.27647966630487897,0.006,0.003
113510,87.55655823853161,1.040461592340779,7.02254460379035,0.012,0.08
113512,159.1906301522299,0,0.544679676870502,0,0.003
113513,57.75619108496791,1.767012915858807,0.084384523749162,0.031,0.001
113515,88.7348861499598,2.994811591636221,0.375541449735398,0.034,0.004
113518,201.8053953391917,0.7263474157425249,2.252816204337332,0.004,0.011
113523,94.76168516541206,0.07324774797824,0,0.001,0
113525,92.15828554757209,0,1.254509764458977,0,0.014
113527,146.8046181726405,0.41844346817648703,2.924201468944053,0.003,0.02
113530,25.359188968342522,0,0.269251225447782,0,0.011
113532,79.8854873771998,0,0.678475288109778,0,0.008
113533,28.15549559127757,0,0.075402118628234,0,0.003
113538,146.27935096009247,0,0.970119682144714,0,0.007
113540,5.2160992447180465,0,0,0,0
113543,69.05268920382244,0,0.058525117866904,0,0.001
113545,92.8909872386456,0,2.541821051620815,0,0.027
113547,27.901495574476595,0,0,0,0
113550,191.43227035546371,0,1.5585230727291621,0,0.008
113552,206.7650732877648,0,34.9771768968328,0,0.169
113553,13.841998574257646,0,0.382072527218446,0,0.028
113571,68.6819892557629,0,0,0,0
113577,2.8017995888842293,0,0.031187002560359,0,0.011
113579,120.48748159908902,0,1.748612738990119,0,0.015
113582,42.757793449828696,0,0,0,0
113584,38.03616978951235,0,0.923331365740353,0,0.024
113585,767.5447050368876,0,9.608719033010082,0,0.013
113588,5.667199216144972,0,0.088689828121712,0,0.016
113589,166.36627489414158,0,0.698306136663124,0,0.004
113597,26.119295993533232,0,0.395992903260231,0,0.015
113598,17.50699725106388,0,0.402886517878079,0,0.023
113602,36.52089436010597,0,0.45082895312786997,0,0.012
113611,67.17948788006892,1.360625783686683,0,0.02,0
113613,194.65416457520737,6.675829255564968,0,0.034,0
113614,68.4315540788382,1.139408147285701,0,0.017,0
113617,26.199794922837228,0.181888153712891,0,0.007,0
113619,99.08659220240388,6.751243466480454,0.047734772316396,0.068,0
113621,109.71470996045183,3.882633955883098,0.063698295414567,0.035,0.001
113622,151.08357290923627,1.64096001737354,0.290085188638728,0.011,0.002
113624,41.135492741445866,2.676110528353885,0.332254705794492,0.065,0.008
113625,30.792094623106127,0,0.092852189023528,0,0.003
113628,41.24669253907334,0.327050947415098,0,0.008,0
113631,72.26598005359955,4.382733205632968,0,0.061,0
113633,151.58867265779205,0.093939848380161,0.168319415993616,0.001,0.001
113635,775.8115618317537,4.5741128537439915,0.164876805577694,0.006,0
113636,417.4811252868351,0.22795336178373898,0.699126318348813,0.001,0.002
113637,261.7899500185581,0.05162887970129,0,0,0
113639,156.6176717938084,0.6491435018258129,1.084149722675077,0.004,0.007
113640,52.443030998387115,0,0.25813910324269196,0,0.005
113641,303.74229768293014,1.215033495508186,0.145037921600916,0.004,0
113644,55.92158876087373,0.105319624182124,0.444352296496944,0.002,0.008
113646,42.79389144458353,0.314548670262328,0,0.007,0
113648,183.2360629683618,0.8454816825029711,0,0.005,0
113649,68.26028635500062,0.22504493972296302,0.425157253775316,0.003,0.006
113651,76.83888471344844,0.44792326340101396,0.352019996047225,0.006,0.005
113652,99.8123799889811,0,0,0,0
113653,53.66128920213998,0.061156663720161,0.396704424250179,0.001,0.007
113656,175.01646516901084,3.303463836977881,1.7292259117319602,0.019,0.01
113657,199.72336104848532,1.428989658152547,1.936638899561262,0.007,0.01
113659,161.16236902582003,3.10184016606946,0,0.019,0
113661,60.58678823813208,3.1282817729484593,0.282733830883354,0.052,0.005
113663,33.795693466288704,1.017577201572993,0,0.03,0
113664,80.59148406934112,0.477761688961915,0,0.006,0
113666,715.7526598133463,3.103632821376301,0.441462727812082,0.004,0.001
113667,30.8361939509469,0,0,0,0
113669,0.455499850721806,0,0,0,0
113672,33.01059347486352,0.055886812276937,0,0.002,0
113673,33.64379371006734,0.144709251994878,0,0.004,0
113675,225.57985500855588,1.256719528937383,0.7046311623104771,0.006,0.003
113677,76.41568483628537,0.335496011501906,0,0.004,0
113680,10.168788256081744,1.250065100569463,0,0.123,0
113683,295.29284966131263,9.849464083869421,0.31607182186618,0.033,0.001
113685,42.55599148696679,0,0,0,0
113686,132.33741193586735,0.510442491602448,0,0.004,0
113688,40.5410919436995,0,0,0,0
113690,79.45488445056274,1.767101072581331,0.101514048952624,0.022,0.001
113691,150.74127067040567,1.462230281248389,0.72181923420728,0.01,0.005
113693,44.9368911658802,0,0,0,0
113694,48.371890763589164,1.782071388265322,0,0.037,0
113695,294.6311416412615,0.141107825924104,0.157978107273038,0,0.001
113696,36.12229269996054,4.680210026907242,0,0.13,0
113697,41.4027919028859,0,0,0,0
113700,7.93759844265574,0,0,0,0
113701,18.5945963113301,0,0,0,0
113703,7.746498477551081,1.9716926751264712,0,0.255,0
113705,0.98909978065364,0,0,0,0
113707,236.53715296000215,5.346286937844675,0.360123214092487,0.023,0.002
113710,95.4062818542152,1.296475195731598,0,0.014,0
