Date,Year,Month,Day,Flow
5/31/1980,1980,5,31,23.18475517
6/1/1980,1980,6,1,101.6784126
6/2/1980,1980,6,2,61.73332192
6/3/1980,1980,6,3,31.59293533
6/4/1980,1980,6,4,19.24627095
6/5/1980,1980,6,5,12.34666438
6/6/1980,1980,6,6,9.804704069
6/7/1980,1980,6,7,6.173332192
6/8/1980,1980,6,8,10.89411563
6/9/1980,1980,6,9,13.07293876
6/10/1980,1980,6,10,10.16784126
6/11/1980,1980,6,11,48.18237896
6/12/1980,1980,6,12,60.75169521
6/13/1980,1980,6,13,67.03635333
6/14/1980,1980,6,14,64.94146729
6/15/1980,1980,6,15,45.04004989
6/16/1980,1980,6,16,33.51817667
6/17/1980,1980,6,17,20.94886042
6/18/1980,1980,6,18,16.75908833
6/19/1980,1980,6,19,9.950708698
6/20/1980,1980,6,20,8.903265677
6/21/1980,1980,6,21,5.832540405
6/22/1980,1980,6,22,4.166100289
6/23/1980,1980,6,23,5.475446095
6/24/1980,1980,6,24,8.451232016
6/25/1980,1980,6,25,7.14188621
6/26/1980,1980,6,26,6.308666152
6/27/1980,1980,6,27,7.618011958
6/28/1980,1980,6,28,103.5573501
6/29/1980,1980,6,29,89.27357763
6/30/1980,1980,6,30,52.37383221
7/1/1980,1980,7,1,35.33315809
7/2/1980,1980,7,2,30.03318438
7/3/1980,1980,7,3,21.19989486
7/4/1980,1980,7,4,19.43323695
7/5/1980,1980,7,5,15.89992114
7/6/1980,1980,7,6,13.24993428
7/7/1980,1980,7,7,8.833289523
7/8/1980,1980,7,8,8.126626361
7/9/1980,1980,7,9,7.154964514
7/10/1980,1980,7,10,6.271635561
7/11/1980,1980,7,11,0.330437608
7/12/1980,1980,7,12,0.214784445
7/13/1980,1980,7,13,0.115653163
7/14/1980,1980,7,14,0.077102109
7/15/1980,1980,7,15,0.022029174
7/16/1980,1980,7,16,0
7/17/1980,1980,7,17,10.4638576
7/18/1980,1980,7,18,14.86969238
7/19/1980,1980,7,19,11.01458694
7/20/1980,1980,7,20,8.260940209
7/21/1980,1980,7,21,7.731668258
7/22/1980,1980,7,22,8.138598166
7/23/1980,1980,7,23,9.359387891
7/24/1980,1980,7,24,8.545528074
7/25/1980,1980,7,25,8.545528074
7/26/1980,1980,7,26,8.545528074
7/27/1980,1980,7,27,9.359387891
7/28/1980,1980,7,28,8.545528074
7/29/1980,1980,7,29,8.138598166
7/30/1980,1980,7,30,7.731668258
7/31/1980,1980,7,31,7.731668258
8/1/1980,1980,8,1,11.70321815
8/2/1980,1980,8,2,9.947735427
8/3/1980,1980,8,3,7.607091797
8/4/1980,1980,8,4,10.53289633
8/5/1980,1980,8,5,21.65095358
8/6/1980,1980,8,6,25.74707993
8/7/1980,1980,8,7,23.99159721
8/8/1980,1980,8,8,20.48063176
8/9/1980,1980,8,9,15.7993445
8/10/1980,1980,8,10,15.21418359
8/11/1980,1980,8,11,71.80241357
8/12/1980,1980,8,12,57.44193085
8/13/1980,1980,8,13,41.02995061
8/14/1980,1980,8,14,15.79653098
8/15/1980,1980,8,15,8.821439381
8/16/1980,1980,8,16,5.744193085
8/17/1980,1980,8,17,4.102995061
8/18/1980,1980,8,18,3.692695555
8/19/1980,1980,8,19,3.077246296
8/20/1980,1980,8,20,2.256647283
8/21/1980,1980,8,21,0
8/22/1980,1980,8,22,0
8/23/1980,1980,8,23,0
8/24/1980,1980,8,24,0
8/25/1980,1980,8,25,0
8/26/1980,1980,8,26,0
8/27/1980,1980,8,27,0
8/28/1980,1980,8,28,0
8/29/1980,1980,8,29,0
8/30/1980,1980,8,30,0
8/31/1980,1980,8,31,0
9/1/1980,1980,9,1,13.02689429
9/2/1980,1980,9,2,9.882471529
9/3/1980,1980,9,3,4.087749587
9/4/1980,1980,9,4,3.189343084
9/5/1980,1980,9,5,2.380777232
9/6/1980,1980,9,6,2.515538207
9/7/1980,1980,9,7,2.470617882
9/8/1980,1980,9,8,1.796813005
9/9/1980,1980,9,9,1.212848779
9/10/1980,1980,9,10,0.718725202
9/11/1980,1980,9,11,1.086797816
9/12/1980,1980,9,12,0.804230384
9/13/1980,1980,9,13,0.77162645
